email,account_status,source_system,updated_at
 sincere@april.biz ,active,crm,2026-03-01
SHANNA@MELISSA.TV,active,crm,2026-03-01
nathan@yesenia.net,inactive,crm,2026-03-02
Julianne.OConner@kory.org ,active,erp,2026-03-03
lucio_hettinger@annie.ca,trial,erp,2026-03-03
 karley_dach@jasper.info,active,crm,2026-03-04
Telly.Hoeger@billy.biz,paused,crm,2026-03-05
Maxiime_Nienow@alicia.info,active,crm,2026-03-05
delphine@adams.us,inactive,erp,2026-03-06
puuduv.kasutaja@example.com,active,legacy,2026-03-07
